Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DTSmoke,Chrome 74.0.3729.169,,,2019-05-28 13:58:06,2019-05-28 14:02:47,4m - 40.549s,FAILED
,,,,,,,
Test Cases/IIDT/DT SMOKE/LoginDesignTracker,Chrome 74.0.3729.169,,,2019-05-28 13:58:06,2019-05-28 13:58:18,11.875s,FAILED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 13:58:07,2019-05-28 13:58:11,4.484s,PASSED
"navigateToUrl(""http://designtracker.uat.brandmuscle.net/login.aspx?ReturnUrl=%2f"")",Chrome 74.0.3729.169,,,2019-05-28 13:58:11,2019-05-28 13:58:15,3.042s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 13:58:15,2019-05-28 13:58:16,1.239s,PASSED
"setText(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTracker -  Brandmuscle/UserName""), ""dibyashree.jyoti@brandmuscle.com"")",Chrome 74.0.3729.169,,,2019-05-28 13:58:16,2019-05-28 13:58:16,0.423s,FAILED
,,,,,,,
Test Cases/IIDT/DT SMOKE/VerifyAccountType,Chrome 74.0.3729.169,,,2019-05-28 13:58:18,2019-05-28 13:58:34,15.538s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 13:58:19,2019-05-28 13:58:21,2.893s,PASSED
"navigateToUrl(""http://designtracker.uat.brandmuscle.net/"")",Chrome 74.0.3729.169,,,2019-05-28 13:58:21,2019-05-28 13:58:25,3.203s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.169,,,2019-05-28 13:58:25,2019-05-28 13:58:25,0.063s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 13:58:25,2019-05-28 13:58:26,1.168s,PASSED
"setText(findTestObject(""DESIGNTRACKER/LoginPage/UserName""), ""dibyashree.jyoti@brandmuscle.com"")",Chrome 74.0.3729.169,,,2019-05-28 13:58:26,2019-05-28 13:58:26,0.243s,PASSED
"setText(findTestObject(""DESIGNTRACKER/LoginPage/Password""), ""dibya@1234"")",Chrome 74.0.3729.169,,,2019-05-28 13:58:26,2019-05-28 13:58:26,0.120s,PASSED
"click(findTestObject(""DESIGNTRACKER/LoginPage/LoginBtn""))",Chrome 74.0.3729.169,,,2019-05-28 13:58:26,2019-05-28 13:58:28,2.214s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.169,,,2019-05-28 13:58:28,2019-05-28 13:58:28,0.021s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/HomePage/ApplicationAdminTab""), 30)",Chrome 74.0.3729.169,,,2019-05-28 13:58:28,2019-05-28 13:58:29,0.055s,PASSED
"mouseOverOffset(findTestObject(""DESIGNTRACKER/HomePage/ApplicationAdminTab""), 0, 0)",Chrome 74.0.3729.169,,,2019-05-28 13:58:29,2019-05-28 13:58:29,0.070s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/HomePage/AccountTypeBtn""), 30)",Chrome 74.0.3729.169,,,2019-05-28 13:58:29,2019-05-28 13:58:29,0.587s,PASSED
"mouseOver(findTestObject(""DESIGNTRACKER/HomePage/AccountTypeBtn""))",Chrome 74.0.3729.169,,,2019-05-28 13:58:29,2019-05-28 13:58:29,0.057s,PASSED
"click(findTestObject(""DESIGNTRACKER/HomePage/AccountTypeBtn""))",Chrome 74.0.3729.169,,,2019-05-28 13:58:29,2019-05-28 13:58:31,1.384s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.169,,,2019-05-28 13:58:31,2019-05-28 13:58:31,0.029s,PASSED
"verifyTextPresent(""Account Types"", false)",Chrome 74.0.3729.169,,,2019-05-28 13:58:31,2019-05-28 13:58:31,0.230s,PASSED
"verifyTextPresent(""Show Retired"", false)",Chrome 74.0.3729.169,,,2019-05-28 13:58:31,2019-05-28 13:58:31,0.197s,PASSED
closeBrowser(),Chrome 74.0.3729.169,,,2019-05-28 13:58:31,2019-05-28 13:58:32,0.681s,PASSED
,,,,,,,
Test Cases/IIDT/DT SMOKE/VerifyDTAccountType,Chrome 74.0.3729.169,,,2019-05-28 13:58:34,2019-05-28 13:58:49,14.872s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,,,2019-05-28 13:58:34,2019-05-28 13:58:37,2.725s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-05-28 13:58:37,2019-05-28 13:58:38,1.154s,PASSED
"navigateToUrl(""http://designtracker.uat.brandmuscle.net"")",Chrome 74.0.3729.169,,,2019-05-28 13:58:38,2019-05-28 13:58:43,5.201s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.169,,,2019-05-28 13:58:43,2019-05-28 13:58:43,0.040s,PASSED
