Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsolidatorSmoke,Chrome 74.0.3729.157,,,2019-05-21 14:21:04,2019-05-21 14:22:33,1m - 28.661s,PASSED
,,,,,,,
Test Cases/IIDT/DT SMOKE/LoginDesignTracker,Chrome 74.0.3729.157,,,2019-05-21 14:21:04,2019-05-21 14:21:19,14.690s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:21:05,2019-05-21 14:21:10,5.070s,PASSED
"navigateToUrl(""http://designtracker.uat.brandmuscle.net/login.aspx?ReturnUrl=%2f"")",Chrome 74.0.3729.157,,,2019-05-21 14:21:10,2019-05-21 14:21:13,3.001s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,,2019-05-21 14:21:13,2019-05-21 14:21:14,1.155s,PASSED
"setText(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/UserName""), ""dibyashree.jyoti@brandmuscle.com"")",Chrome 74.0.3729.157,,,2019-05-21 14:21:14,2019-05-21 14:21:14,0.249s,PASSED
"setEncryptedText(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/Password""), ""8bxY5gEhEkwKDaQT9s4tsg=="")",Chrome 74.0.3729.157,,,2019-05-21 14:21:14,2019-05-21 14:21:15,0.180s,PASSED
"click(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/LoginBtn""))",Chrome 74.0.3729.157,,,2019-05-21 14:21:15,2019-05-21 14:21:17,2.205s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 14:21:17,2019-05-21 14:21:17,0.059s,PASSED
"click(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/LogOutLink""))",Chrome 74.0.3729.157,,,2019-05-21 14:21:17,2019-05-21 14:21:18,1.007s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:21:18,2019-05-21 14:21:19,1.176s,PASSED
,,,,,,,
Test Cases/IIDT/DT SMOKE/VerifyJobClosingPage,Chrome 74.0.3729.157,,,2019-05-21 14:21:19,2019-05-21 14:21:31,12.357s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:21:19,2019-05-21 14:21:22,2.378s,PASSED
"navigateToUrl(""http://designtracker.uat.brandmuscle.net/"")",Chrome 74.0.3729.157,,,2019-05-21 14:21:22,2019-05-21 14:21:26,3.755s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,,2019-05-21 14:21:26,2019-05-21 14:21:27,1.175s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 14:21:27,2019-05-21 14:21:27,0.019s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/UserName""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:21:27,2019-05-21 14:21:27,0.071s,PASSED
