Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsolidatorSmoke,Chrome 74.0.3729.131,,,2019-05-27 18:10:59,2019-05-27 18:15:00,4m - 1.740s,FAILED
,,,,,,,
Test Cases/CSPW/CS SMOKE/VerifyAddBaseElementPage,Chrome 74.0.3729.131,,,2019-05-27 18:10:59,2019-05-27 18:11:54,55.268s,FAILED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-27 18:11:00,2019-05-27 18:11:11,10.692s,PASSED
"navigateToUrl(""https://admintool.v5stage.brandmuscle.net"")",Chrome 74.0.3729.131,,,2019-05-27 18:11:11,2019-05-27 18:11:14,3.120s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.131,,,2019-05-27 18:11:14,2019-05-27 18:11:14,0.084s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-27 18:11:14,2019-05-27 18:11:15,1.142s,PASSED
"setText(findTestObject(""CONSOLIDATOR/LogInPage/Username""), ""chrtestuser@brandmuscle.com"")",Chrome 74.0.3729.131,,,2019-05-27 18:11:15,2019-05-27 18:11:15,0.308s,PASSED
"setText(findTestObject(""CONSOLIDATOR/LogInPage/Password""), ""Ownlocal@123"")",Chrome 74.0.3729.131,,,2019-05-27 18:11:15,2019-05-27 18:11:15,0.155s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/LoginBtn""))",Chrome 74.0.3729.131,,,2019-05-27 18:11:15,2019-05-27 18:11:18,2.261s,PASSED
waitForPageLoad(0),Chrome 74.0.3729.131,,,2019-05-27 18:11:18,2019-05-27 18:11:18,0.033s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitDropdown""))",Chrome 74.0.3729.131,,,2019-05-27 18:11:18,2019-05-27 18:11:18,0.205s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitName""))",Chrome 74.0.3729.131,,,2019-05-27 18:11:18,2019-05-27 18:11:22,3.914s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.131,,,2019-05-27 18:11:22,2019-05-27 18:11:22,0.052s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/UpdateLogPage/Select Business UnitBtn""), 0)",Chrome 74.0.3729.131,,,2019-05-27 18:11:22,2019-05-27 18:11:22,0.111s,PASSED
"click(findTestObject(""CONSOLIDATOR/UpdateLogPage/Select Business UnitBtn""))",Chrome 74.0.3729.131,,,2019-05-27 18:11:22,2019-05-27 18:11:22,0.127s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/ParentBusinessUnit/ParentBusinessUnitDropDown""), 30)",Chrome 74.0.3729.131,,,2019-05-27 18:11:22,2019-05-27 18:11:24,2.406s,PASSED
"click(findTestObject(""CONSOLIDATOR/ParentBusinessUnit/ParentBusinessUnitDropDown""))",Chrome 74.0.3729.131,,,2019-05-27 18:11:24,2019-05-27 18:11:25,0.179s,PASSED
"click(findTestObject(""CONSOLIDATOR/ParentBusinessUnit/ParentBusinessUnitName""))",Chrome 74.0.3729.131,,,2019-05-27 18:11:25,2019-05-27 18:11:26,1.813s,PASSED
"click(findTestObject(""CONSOLIDATOR/ParentBusinessUnit/SubmitBtn (1)""))",Chrome 74.0.3729.131,,,2019-05-27 18:11:26,2019-05-27 18:11:28,1.865s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/ParentBusinessUnit/BusinessUnitSelectedMessage""), 0)",Chrome 74.0.3729.131,,,2019-05-27 18:11:28,2019-05-27 18:11:28,0.077s,PASSED
"mouseOverOffset(findTestObject(""CONSOLIDATOR/UpdateLogPage/span_Modules""), 0, 0)",Chrome 74.0.3729.131,,,2019-05-27 18:11:28,2019-05-27 18:11:29,0.172s,PASSED
"mouseOver(findTestObject(""CONSOLIDATOR/UpdateLogPage/span_Consolidator""))",Chrome 74.0.3729.131,,,2019-05-27 18:11:29,2019-05-27 18:11:29,0.124s,PASSED
"click(findTestObject(""CONSOLIDATOR/UpdateLogPage/span_Consolidator""))",Chrome 74.0.3729.131,,,2019-05-27 18:11:29,2019-05-27 18:11:29,0.178s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.131,,,2019-05-27 18:11:29,2019-05-27 18:11:29,0.013s,PASSED
"navigateToUrl(""https://admintool.v5stage.brandmuscle.net/Admin/Consolidator/ConsolidatorManageBaseElement.aspx"")",Chrome 74.0.3729.131,,,2019-05-27 18:11:29,2019-05-27 18:11:33,3.999s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.131,,,2019-05-27 18:11:33,2019-05-27 18:11:33,0.046s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/ManageElementsPage/AddNewItemBtn""), 30)",Chrome 74.0.3729.131,,,2019-05-27 18:11:33,2019-05-27 18:11:52,19.325s,FAILED
,,,,,,,
Test Cases/CSPW/CS SMOKE/VerifyAddNewItemPage,Chrome 74.0.3729.131,,,2019-05-27 18:11:54,2019-05-27 18:12:25,30.157s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-27 18:11:55,2019-05-27 18:11:58,3.367s,PASSED
"navigateToUrl(""https://admintool.v5qa.brandmuscle.net"")",Chrome 74.0.3729.131,,,2019-05-27 18:11:58,2019-05-27 18:12:01,2.589s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.131,,,2019-05-27 18:12:01,2019-05-27 18:12:01,0.217s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-27 18:12:01,2019-05-27 18:12:02,1.156s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/Username""), 30)",Chrome 74.0.3729.131,,,2019-05-27 18:12:02,2019-05-27 18:12:02,0.049s,PASSED
"setText(findTestObject(""CONSOLIDATOR/LogInPage/Username""), ""chrtestuser@brandmuscle.com"")",Chrome 74.0.3729.131,,,2019-05-27 18:12:02,2019-05-27 18:12:02,0.278s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/Password""), 30)",Chrome 74.0.3729.131,,,2019-05-27 18:12:02,2019-05-27 18:12:02,0.057s,PASSED
"setText(findTestObject(""CONSOLIDATOR/LogInPage/Password""), ""Ownlocal@123"")",Chrome 74.0.3729.131,,,2019-05-27 18:12:02,2019-05-27 18:12:02,0.132s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/LoginBtn""))",Chrome 74.0.3729.131,,,2019-05-27 18:12:02,2019-05-27 18:12:05,2.948s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.131,,,2019-05-27 18:12:05,2019-05-27 18:12:05,0.023s,PASSED
