Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsolidatorSmoke,Chrome 74.0.3729.157,,,2019-05-21 15:45:21,2019-05-21 15:49:25,4m - 3.806s,FAILED
,,,,,,,
Test Cases/CSPW/CS SMOKE/VerifyAddNewItemPage,Chrome 74.0.3729.157,,,2019-05-21 15:45:22,2019-05-21 15:46:40,1m - 18.512s,FAILED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 15:45:22,2019-05-21 15:45:26,4.169s,PASSED
"navigateToUrl(""https://admintool.v5qa.brandmuscle.net"")",Chrome 74.0.3729.157,,,2019-05-21 15:45:26,2019-05-21 15:45:30,3.397s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 15:45:30,2019-05-21 15:45:30,0.111s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,,2019-05-21 15:45:30,2019-05-21 15:45:31,1.215s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/Username""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:45:31,2019-05-21 15:45:31,0.105s,PASSED
"setText(findTestObject(""CONSOLIDATOR/LogInPage/Username""), ""chrtestuser@brandmuscle.com"")",Chrome 74.0.3729.157,,,2019-05-21 15:45:31,2019-05-21 15:45:31,0.279s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/Password""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:45:31,2019-05-21 15:45:31,0.003s,NOT_RUN
"setText(findTestObject(""CONSOLIDATOR/LogInPage/Password""), ""Ownlocal@1231"")",Chrome 74.0.3729.157,,,2019-05-21 15:45:31,2019-05-21 15:45:32,0.258s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/LoginBtn""))",Chrome 74.0.3729.157,,,2019-05-21 15:45:32,2019-05-21 15:45:35,3.164s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 15:45:35,2019-05-21 15:45:35,0.018s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitDropdown""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:45:35,2019-05-21 15:46:06,31.424s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitDropdown""))",Chrome 74.0.3729.157,,,2019-05-21 15:46:06,2019-05-21 15:46:38,31.610s,FAILED
,,,,,,,
Test Cases/CSPW/CS SMOKE/VerifyEditBaseElementsPage,Chrome 74.0.3729.157,,,2019-05-21 15:46:40,2019-05-21 15:47:21,41.069s,FAILED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 15:46:41,2019-05-21 15:46:44,3.414s,PASSED
"navigateToUrl(""https://admintool.v5qa.brandmuscle.net"")",Chrome 74.0.3729.157,,,2019-05-21 15:46:44,2019-05-21 15:46:48,4.167s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 15:46:48,2019-05-21 15:46:48,0.024s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,,2019-05-21 15:46:48,2019-05-21 15:46:49,1.203s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/Username""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:46:49,2019-05-21 15:46:49,0.067s,PASSED
"setText(findTestObject(""CONSOLIDATOR/LogInPage/Username""), ""chrtestuser@brandmuscle.com"")",Chrome 74.0.3729.157,,,2019-05-21 15:46:49,2019-05-21 15:46:50,0.217s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/Password""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:46:50,2019-05-21 15:46:50,0.037s,PASSED
"setText(findTestObject(""CONSOLIDATOR/LogInPage/Password""), ""Ownlocal@123"")",Chrome 74.0.3729.157,,,2019-05-21 15:46:50,2019-05-21 15:46:50,0.137s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/LoginBtn""))",Chrome 74.0.3729.157,,,2019-05-21 15:46:50,2019-05-21 15:46:55,5.515s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 15:46:55,2019-05-21 15:46:55,0.057s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitDropdown""), 0)",Chrome 74.0.3729.157,,,2019-05-21 15:46:55,2019-05-21 15:46:55,0.063s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitDropdown""))",Chrome 74.0.3729.157,,,2019-05-21 15:46:55,2019-05-21 15:46:56,0.154s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitName""))",Chrome 74.0.3729.157,,,2019-05-21 15:46:56,2019-05-21 15:47:03,7.555s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 15:47:03,2019-05-21 15:47:03,0.067s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/UpdateLogPage/Select Business UnitBtn""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:47:03,2019-05-21 15:47:03,0.060s,PASSED
"click(findTestObject(""CONSOLIDATOR/UpdateLogPage/Select Business UnitBtn""))",Chrome 74.0.3729.157,,,2019-05-21 15:47:03,2019-05-21 15:47:03,0.101s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 15:47:03,2019-05-21 15:47:03,0.013s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/ParentBusinessUnit/ParentBusinessUnitDropDown""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:47:03,2019-05-21 15:47:09,5.239s,PASSED
"click(findTestObject(""CONSOLIDATOR/ParentBusinessUnit/ParentBusinessUnitDropDown""))",Chrome 74.0.3729.157,,,2019-05-21 15:47:09,2019-05-21 15:47:09,0.120s,PASSED
"click(findTestObject(""CONSOLIDATOR/ParentBusinessUnit/ParentBusinessUnitName""))",Chrome 74.0.3729.157,,,2019-05-21 15:47:09,2019-05-21 15:47:13,4.717s,PASSED
"click(findTestObject(""CONSOLIDATOR/ParentBusinessUnit/SubmitBtn (1)""))",Chrome 74.0.3729.157,,,2019-05-21 15:47:13,2019-05-21 15:47:18,5.044s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/UpdateLogPage/span_Modules""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:47:18,2019-05-21 15:47:19,0.066s,PASSED
"mouseOverOffset(findTestObject(""CONSOLIDATOR/UpdateLogPage/span_Modules""), 0, 0)",Chrome 74.0.3729.157,,,2019-05-21 15:47:19,2019-05-21 15:47:19,0.067s,PASSED
"mouseOver(findTestObject(""CONSOLIDATOR/UpdateLogPage/span_Consolidator""))",Chrome 74.0.3729.157,,,2019-05-21 15:47:19,2019-05-21 15:47:19,0.083s,PASSED
"click(findTestObject(""CONSOLIDATOR/UpdateLogPage/span_Consolidator""))",Chrome 74.0.3729.157,,,2019-05-21 15:47:19,2019-05-21 15:47:19,0.435s,FAILED
,,,,,,,
Test Cases/CSPW/CS SMOKE/VerifyManageBaseElementsPage,Chrome 74.0.3729.157,,,2019-05-21 15:47:21,2019-05-21 15:48:41,1m - 19.499s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 15:47:22,2019-05-21 15:47:25,3.582s,PASSED
"navigateToUrl(""https://admintool.v5qa.brandmuscle.net"")",Chrome 74.0.3729.157,,,2019-05-21 15:47:25,2019-05-21 15:47:30,4.604s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 15:47:30,2019-05-21 15:47:30,0.013s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,,2019-05-21 15:47:30,2019-05-21 15:47:31,1.142s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/Username""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:47:31,2019-05-21 15:47:31,0.047s,PASSED
"setText(findTestObject(""CONSOLIDATOR/LogInPage/Username""), ""chrtestuser@brandmuscle.com"")",Chrome 74.0.3729.157,,,2019-05-21 15:47:31,2019-05-21 15:47:31,0.207s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/Password""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:47:31,2019-05-21 15:47:31,0.037s,PASSED
"setText(findTestObject(""CONSOLIDATOR/LogInPage/Password""), ""Ownlocal@123"")",Chrome 74.0.3729.157,,,2019-05-21 15:47:31,2019-05-21 15:47:31,0.128s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/LoginBtn""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:47:31,2019-05-21 15:47:31,0.042s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/LoginBtn""))",Chrome 74.0.3729.157,,,2019-05-21 15:47:31,2019-05-21 15:47:37,5.300s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 15:47:37,2019-05-21 15:47:37,0.013s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitDropdown""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:47:37,2019-05-21 15:47:37,0.051s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitDropdown""))",Chrome 74.0.3729.157,,,2019-05-21 15:47:37,2019-05-21 15:47:37,0.128s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitName""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:47:37,2019-05-21 15:47:37,0.054s,PASSED
"click(findTestObject(""CONSOLIDATOR/LogInPage/BusinessUnitName""))",Chrome 74.0.3729.157,,,2019-05-21 15:47:37,2019-05-21 15:47:45,7.734s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 15:47:45,2019-05-21 15:47:45,0.015s,PASSED
"waitForElementVisible(findTestObject(""CONSOLIDATOR/UpdateLogPage/Select Business UnitBtn""), 30)",Chrome 74.0.3729.157,,,2019-05-21 15:47:45,2019-05-21 15:47:45,0.054s,PASSED
"click(findTestObject(""CONSOLIDATOR/UpdateLogPage/Select Business UnitBtn""))",Chrome 74.0.3729.157,,,2019-05-21 15:47:45,2019-05-21 15:47:45,0.111s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 15:47:45,2019-05-21 15:47:45,0.020s,PASSED
